id,pop,rep,measure_traits
859,FC-MLB,B,no
860,NL-DOR,B,NA
861,CC-FBK,B,no
862,NL-HAR,B,no
863,FS-VID,B,no
864,CC-ALM,B,NA
865,FC-MLB,B,no
866,CE-SON,B,no
867,NL-HAR,B,yes
868,CE-COL,B,no
869,CC-BAI,B,no
870,CC-ALM,B,no
871,NL-TIL,B,yes
872,CC-SHL,B,no
873,CC-SCR,B,no
874,FS-ARI,B,NA
875,CE-JVR,B,NA
876,FC-COU,B,no
877,CC-CVR,B,no
878,CE-LGR,B,no
879,NL-WHV,B,no
880,CC-GUA,B,no
881,FS-LAT,B,NA
882,NL-LAR,B,no
883,CC-FOO,B,no
884,CE-SRK,B,no
885,CC-CUP,B,no
886,CC-FBK,B,no
887,CE-DUT,B,no
888,FS-MER,B,no
889,CC-PPR,B,no
890,CC-LEX,B,no
891,NL-CUI,B,NA
892,CC-OKA,B,no
893,CC-ALV,B,no
894,CE-TUL,B,no
895,FS-VID,B,no
896,FC-LEM,B,no
897,CE-SCT,B,yes
898,CC-BYD,B,no
899,CE-JAR,B,no
900,NL-DOR,B,no
901,FC-MMA,B,NA
902,FC-COD,B,no
903,FC-BOE,B,no
904,NL-SCH,B,no
905,FC-ISB,B,no
906,FS-FRE,B,NA
907,FC-EVR,B,no
908,CE-JES,B,no
909,CE-JAM,B,no
910,CE-OAK,B,no
911,CE-LLL,B,no
912,CE-CAR,B,no
913,CC-SHL,B,no
914,CE-COL,B,no
915,FC-ISB,B,yes
916,FS-VID,B,no
917,FC-LEM,B,yes
918,CC-GUA,B,no
919,FC-MMA,B,no
920,FS-LAT,B,NA
921,CE-JES,B,no
922,NL-DOR,B,no
923,CC-OKA,B,no
924,CE-JAR,B,no
925,CC-BAI,B,no
926,CC-SCR,B,no
927,CE-CAR,B,no
928,CC-ALV,B,no
929,CC-BYD,B,no
930,CE-JVR,B,NA
931,NL-LAR,B,no
932,CE-LGR,B,no
933,CC-PPR,B,no
934,FS-FRE,B,no
935,NL-TIL,B,no
936,FC-COU,B,yes
937,CE-SRK,B,no
938,FS-ARI,B,NA
939,CE-SCT,B,no
940,NL-CUI,B,yes
941,NL-SCH,B,no
942,CC-FOO,B,no
943,FC-MLB,B,no
944,CE-TUL,B,yes
945,FC-COD,B,yes
946,CC-CVR,B,no
947,CE-JAM,B,no
948,NL-HAR,B,no
949,CE-DUT,B,no
950,FC-BOE,B,no
951,NL-WHV,B,yes
952,CE-SON,B,no
953,CE-OAK,B,no
954,CC-LEX,B,no
955,CC-CUP,B,no
956,CC-ALM,B,no
957,FC-EVR,B,no
958,FS-MER,B,NA
959,CC-FBK,B,no
960,CE-LLL,B,no
961,PR-OUS,A,yes
961,PR-OUS,B,yes
961,PR-OUS,C,yes
961,PR-OUS,D,yes
961,PR-OUS,E,yes
961,PR-OUS,F,yes
961,PR-OUS,G,yes
961,PR-OUS,H,yes
